POSTYPE,MATNR,OWNER,OWNER_ROLE,BATCH,CAT,STOCK_DOCCAT,STOCK_DOCNO,STOCK_ITMNO,STOCK_USAGE,ENTITELED,ENTITLED_ROLE,COO,QUAN,UNIT,HUTYP,LGPLA,GR_DATE,GR_TIME,VFDAT,PMAT,EXTNO,HUIDENT,PARHUIDENT,TOPHUIDENT,ROW,REFROW,G_WEIGHT,N_WEIGHT,UNIT_GW,T_WEIGHT,UNIT_TW,G_VOLUME,N_VOLUME,UNIT_GV,T_VOLUME,UNIT_TV,G_CAPA,N_CAPA,T_CAPA,LENGTH,WIDTH,HEIGHT,UNIT_LWH,MAX_WEIGHT,TOLW,TARE_VAR,MAX_VOLUME,TOLV,CLOSED_PACKAGE,MAX_CAPA,MAX_LENGTH,MAX_WIDTH,MAX_HEIGHT,UNIT_MAX_LWH,SERNR,CWQUAN,CWUNIT,CWEXACT,LOGPOS,UII,AMOUNT_LC,DUMMY_ISU,ZEUGN
4,8256,NE00,BP,40320883,1,,,,,NE00,BP,,54,CS,,19-063-1,20240229,,20250531,,,376130308202620085,376130308202620085,376130308202620085,40,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,E1,19-064-1,,,,NPALLET-E1,X,350103471816282409,350103471816282409,350103471816282409,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,9390,NE00,BP,2407500000,1,,,,,NE00,BP,,15,CS,,19-064-1,20240812,,20260228,,,350103471816282409,350103471816282409,350103471816282409,42,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,E1,19-065-1,,,,NPALLET-E1,X,376130308202637830,376130308202637830,376130308202637830,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,8263,NE00,BP,40650883,1,,,,,NE00,BP,,54,CS,,19-065-1,20240321,,20250630,,,376130308202637830,376130308202637830,376130308202637830,44,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,I1,19-066-1,,,,NPALLET-I1,X,387142530450317085,387142530450317085,387142530450317085,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,10955,NE00,BP,3338635,1,,,,,NE00,BP,,11,CS,,19-066-1,20240722,,20270630,,,387142530450317085,387142530450317085,387142530450317085,46,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,I1,19-067-1,,,,NPALLET-I1,X,350103450030217749,350103450030217749,350103450030217749,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,8511,NE00,BP,42199722BB,1,,,,,NE00,BP,,13,CS,,19-067-1,20240911,,20250630,,,350103450030217749,350103450030217749,350103450030217749,48,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,E1,19-068-1,,,,NPALLET-E1,X,087139750000020509,087139750000020509,087139750000020509,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
